matomeareacode,matomeareaname,matomeareaname_kn
070023,浜通り南部,はまどおりなんぶ
070031,会津北部,あいづほくぶ
070032,会津中部,あいづちゅうぶ
070033,会津南部,あいづなんぶ
080011,県央地域,けんおうちいき
080012,県北地域,けんぽくちいき
080021,鹿行地域,ろっこうちいき
080022,県南地域,けんなんちいき
080023,県西地域,けんせいちいき
090011,県央部,けんおうぶ
090012,南東部,なんとうぶ
090013,南西部,なんせいぶ
090021,那須地域,なすちいき
090022,日光市,にっこうし
100011,前橋・桐生地域,まえばしきりゅうちいき
100012,伊勢崎・太田地域,いせさきおおたちいき
100013,高崎・藤岡地域,たかさきふじおかちいき
100021,利根・沼田地域,とねぬまたちいき
100022,吾妻地域,あがつまちいき
110011,南中部,なんちゅうぶ
110012,南東部,なんとうぶ
110013,南西部,なんせいぶ
110021,北東部,ほくとうぶ
110022,北西部,ほくせいぶ
110030,秩父地方,ちちぶちほう
120011,千葉中央,ちばちゅうおう
120012,印旛,いんば
120013,東葛飾,ひがしかつしか
120021,香取・海匝,かとりかいそう
120022,山武・長生,さんぶちょうせい
120031,君津,きみつ
120032,夷隅・安房,いすみあわ
130011,２３区西部,にじゅうさんくせいぶ
130012,２３区東部,にじゅうさんくとうぶ
130013,多摩北部,たまほくぶ
130014,多摩西部,たませいぶ
130015,多摩南部,たまなんぶ
130021,大島,おおしま
130022,新島,にいじま
130031,八丈島,はちじょうじま
130032,三宅島,みやけじま
130040,小笠原諸島,おがさわらしょとう
140011,横浜・川崎,よこはまかわさき
140012,湘南,しょうなん
140013,三浦半島,みうらはんとう
140021,相模原,さがみはら
140022,県央,けんおう
140023,足柄上,あしがらかみ
140024,西湘,せいしょう
150011,新潟地域,にいがたちいき
150012,岩船地域,いわふねちいき
150013,新発田地域,しばたちいき
150014,五泉地域,ごせんちいき
150021,長岡地域,ながおかちいき
150022,三条地域,さんじょうちいき
150023,魚沼市,うおぬまし
150024,柏崎地域,かしわざきちいき
150025,南魚沼地域,みなみうおぬまちいき
150026,十日町地域,とおかまちちいき
150031,上越市,じょうえつし
150032,糸魚川市,いといがわし
150033,妙高市,みょうこうし
150040,佐渡,さど
160011,東部南,とうぶみなみ
160012,東部北,とうぶきた
160021,西部北,せいぶきた
160022,西部南,せいぶみなみ
170011,加賀北部,かがほくぶ
170012,加賀南部,かがなんぶ
170021,能登北部,のとほくぶ
170022,能登南部,のとなんぶ
180011,嶺北北部,れいほくほくぶ
180012,嶺北南部,れいほくなんぶ
180013,奥越,おくえつ
180021,嶺南東部,れいなんとうぶ
180022,嶺南西部,れいなんせいぶ
190011,中北地域,ちゅうほくちいき
190012,峡東地域,きょうとうちいき
190013,峡南地域,きょうなんちいき
190021,東部,とうぶ
190022,富士五湖,ふじごこ
200011,長野地域,ながのちいき
200012,中野飯山地域,なかのいいやまちいき
200013,大北地域,だいほくちいき
200021,上田地域,うえだちいき
200022,佐久地域,さくちいき
200023,松本地域,まつもとちいき
200024,乗鞍上高地地域,のりくらかみこうちちいき
200025,諏訪地域,すわちいき
200031,上伊那地域,かみいなちいき
200032,木曽地域,きそちいき
200033,下伊那地域,しもいなちいき
210011,岐阜・西濃,ぎふせいのう
210012,東濃,とうのう
210013,中濃,ちゅうのう
210021,飛騨北部,ひだほくぶ
210022,飛騨南部,ひだなんぶ
220011,中部南,ちゅうぶみなみ
220012,中部北,ちゅうぶきた
220021,伊豆北,いずきた
220022,伊豆南,いずみなみ
220031,富士山南東,ふじさんなんとう
220032,富士山南西,ふじさんなんせい
220041,遠州北,えんしゅうきた
220042,遠州南,えんしゅうみなみ
230011,尾張東部,おわりとうぶ
230012,尾張西部,おわりせいぶ
230013,知多地域,ちたちいき
230014,西三河南部,にしみかわなんぶ
230015,西三河北西部,にしみかわほくせいぶ
230021,西三河北東部,にしみかわほくとうぶ
230022,東三河北部,ひがしみかわほくぶ
230023,東三河南部,ひがしみかわなんぶ
240011,中部,ちゅうぶ
240012,北部,ほくぶ
240013,伊賀,いが
240021,伊勢志摩,いせしま
240022,紀勢・東紀州,きせいひがしきしゅう
250011,近江南部,おうみなんぶ
250012,東近江,ひがしおうみ
250013,甲賀,こうか
250021,近江西部,おうみせいぶ
250022,湖北,こほく
250023,湖東,ことう
260011,京都・亀岡,きょうとかめおか
260012,南丹・京丹波,なんたんきょうたんば
260013,山城中部,やましろちゅうぶ
260014,山城南部,やましろなんぶ
260021,丹後,たんご
260022,舞鶴・綾部,まいづるあやべ
260023,福知山,ふくちやま
270001,大阪市,おおさかし
270002,北大阪,きたおおさか
270003,東部大阪,とうぶおおさか
270004,南河内,みなみかわち
270005,泉州,せんしゅう
280011,阪神,はんしん
280012,北播丹波,ほくばんたんば
280013,播磨北西部,はりまほくせいぶ
280014,播磨南東部,はりまなんとうぶ
280015,播磨南西部,はりまなんせいぶ
280016,淡路島,あわじしま
280021,但馬北部,たじまほくぶ
280022,但馬南部,たじまなんぶ
290011,北西部,ほくせいぶ
290012,北東部,ほくとうぶ
290013,五條・北部吉野,ごじょうほくぶよしの
290021,南東部,なんとうぶ
290022,南西部,なんせいぶ
300011,紀北,きほく
300012,紀中,きちゅう
300021,田辺・西牟婁,たなべにしむろ
300022,新宮・東牟婁,しんぐうひがしむろ
310011,鳥取地区,とっとりちく
310012,八頭地区,やずちく
310021,倉吉地区,くらよしちく
310022,米子地区,よなごちく
310023,日野地区,ひのちく
320011,松江地区,まつえちく
320012,出雲地区,いずもちく
320013,雲南地区,うんなんちく
320021,大田邑智地区,おおだおおちちく
320022,浜田地区,はまだちく
320023,益田地区,ますだちく
320030,隠岐,おき
330011,岡山地域,おかやまちいき
330012,東備地域,とうびちいき
330013,倉敷地域,くらしきちいき
330014,井笠地域,いかさちいき
330015,高梁地域,たかはしちいき
330021,新見地域,にいみちいき
330022,真庭地域,まにわちいき
330023,津山地域,つやまちいき
330024,勝英地域,しょうえいちいき
340011,広島・呉,ひろしまくれ
340012,福山・尾三,ふくやまびさん
340013,東広島・竹原,ひがしひろしまたけはら
340021,備北,びほく
340022,芸北,げいほく
350011,下関,しものせき
350012,宇部・山陽小野田,うべさんようおのだ
350021,山口・防府,やまぐちほうふ
350022,周南・下松,しゅうなんくだまつ
350031,岩国,いわくに
350032,柳井・光,やないひかり
350041,萩・美祢,はぎみね
350042,長門,ながと
360011,徳島・鳴門,とくしまなると
360012,美馬北部・阿北,みまほくぶあほく
360013,美馬南部・神山,みまなんぶかみやま
360014,三好,みよし
360021,阿南,あなん
360022,那賀・勝浦,なかかつうら
360023,海部,かいふ
370001,高松地域,たかまつちいき
370002,小豆,しょうず
370003,東讃,とうさん
370004,中讃,ちゅうさん
370005,西讃,せいさん
380010,中予,ちゅうよ
380021,東予東部,とうよとうぶ
380022,東予西部,とうよせいぶ
380031,南予北部,なんよほくぶ
380032,南予南部,なんよなんぶ
390011,高知中央,こうちちゅうおう
390012,嶺北,れいほく
390013,高吾北,こうごほく
390021,室戸,むろと
390022,安芸,あき
390031,幡多,はた
390032,高幡,こうばん
400010,福岡地方,ふくおかちほう
400021,北九州・遠賀地区,きたきゅうしゅうおんがちく
400022,京築,けいちく
400030,筑豊地方,ちくほうちほう
400041,筑後北部,ちくごほくぶ
400042,筑後南部,ちくごなんぶ
410011,佐賀多久地区,さがたくちく
410012,鳥栖地区,とすちく
410013,武雄地区,たけおちく
410014,鹿島地区,かしまちく
410021,唐津地区,からつちく
410022,伊万里地区,いまりちく
420011,島原半島,しまばらはんとう
420012,長崎地区,ながさきちく
420013,諫早・大村地区,いさはやおおむらちく
420014,西彼杵半島,にしそのぎはんとう
420021,平戸・松浦地区,ひらどまつうらちく
420022,佐世保・東彼地区,させぼとうひちく
420031,壱岐,いき
420032,上対馬,かみつしま
420033,下対馬,しもつしま
420041,上五島,かみごとう
420042,下五島,しもごとう
430011,熊本市,くまもとし
430012,山鹿菊池,やまがきくち
430013,荒尾玉名,あらおたまな
430014,上益城,かみましき
430015,宇城八代,うきやつしろ
430020,阿蘇地方,あそちほう
430031,天草地方,あまくさちほう
430032,芦北地方,あしきたちほう
430040,球磨地方,くまちほう
440010,中部,ちゅうぶ
440020,北部,ほくぶ
440031,日田玖珠,ひたくす
440032,竹田市,たけたし
440041,佐伯市,さいきし
440042,豊後大野市,ぶんごおおのし
450011,宮崎地区,みやざきちく
450012,日南・串間地区,にちなんくしまちく
450021,延岡・日向地区,のべおかひゅうがちく
450022,西都・高鍋地区,さいとたかなべちく
450031,小林・えびの地区,こばやしえびのちく
450032,都城地区,みやこのじょうちく
450041,高千穂地区,たかちほちく
450042,椎葉・美郷地区,しいばみさとちく
460011,鹿児島・日置,かごしまひおき
460012,出水・伊佐,いずみいさ
460013,川薩・姶良,せんさつあいら
460014,甑島,こしきしま
460015,指宿・川辺,いぶすきかわなべ
460021,曽於,そお
460022,肝属,きもつき
460031,種子島地方,たねがしまちほう
460032,屋久島地方,やくしまちほう
460041,北部,ほくぶ
460042,南部,なんぶ
460043,十島村,としまむら
471011,南部,なんぶ
471012,中部,ちゅうぶ
471013,慶良間・粟国諸島,けらまあぐにしょとう
471021,伊是名・伊平屋,いぜないへや
471022,国頭地区,くにがみちく
471023,名護地区,なごちく
471024,恩納・金武地区,おんなきんちく
471030,久米島,くめじま
472000,大東島地方,だいとうじまちほう
473001,宮古島,みやこじま
473002,多良間島,たらまじま
474011,石垣市,いしがきし
474012,竹富町,たけとみちょう
474020,与那国島地方,よなぐにじまちほう
